name,address,lat,lot
원산도해수욕장,대한민국 충청남도 보령시 오천면 원산도리 1860-13,36.3628302,126.4287138
대탄해수욕장,대한민국 경상북도 영덕군 영덕읍 대탄리 26-6,36.4367101,129.4330049
오보해수욕장,대한민국 경상북도 영덕군 영덕읍 오보리 134-1,36.4411976,129.4329638
경정해수욕장,대한민국 경상북도 영덕군 축산면 경정리 426-1,36.4815509,129.4332878
대진해수욕장,대한민국 경상북도 영덕군 영해면 대진리 426-7,36.5654541,129.4263861
덕천해수욕장,대한민국 경상북도 영덕군 병곡면 고래불로 68,36.5707481,129.4209542
영리해수욕장,대한민국 경상북도 영덕군 병곡면 영리 155-1,36.5903664,129.4106956
후포해수욕장,대한민국 경상북도 울진군 후포면 삼율리 169-28,36.6757991,129.44446
기성망양해수욕장,대한민국 경상북도 울진군 기성면 망양리 140-3,36.8424395,129.4352389
덕신해수욕장,대한민국 경상북도 울진군 매화면 덕신1길 20-8,36.8844911,129.4167648
염전해수욕장,대한민국 경상북도 울진군 근남면 수산리 76,36.9740554,129.4101141
봉평해수욕장,대한민국 경상북도 울진군 죽변면 봉평리 97-9,37.0435765,129.4136994
부구해수욕장,대한민국 경상북도 울진군 북면 부구리 163-63,37.1036264,129.3769874
나곡해수욕장,대한민국 경상북도 울진군 북면 나실길 20-15,37.1263317,129.3715967
오포3리해수욕장,대한민국 경상북도 영덕군 강구면 강구해안길,36.3565467,129.3889337
화순금모래해수욕장,대한민국 제주특별자치도 서귀포시 안덕면 화순해안로 66-13,33.2403847,126.3325046
황우치 해변,대한민국 제주특별자치도 서귀포시 안덕면 사계리 92,33.2375423,126.3180647
오션밸리 리조트,대한민국 강원도 양양군 양양읍 일출로 127-30,38.1104526,128.6400089
격포해수욕장,대한민국 전라북도 부안군 변산면 격포리 282-21 변산반도국립공원 격포 지구,35.6287629,126.4699042
후포해변,대한민국 제주특별자치도 제주시 추자면 대서리 268,33.9626564,126.289218
이금포해변,대한민국 전라남도 여수시 삼산면 서도리 67,34.0559642,127.2952318
사근진해변,대한민국 강원도 강릉시 해안로604번길 18,37.8128204,128.8987427
권덕리해변,대한민국 전라남도 완도군 청산면 읍리 158-6,34.1550376,126.8813717
협곡몽돌해변,대한민국 전라남도 신안군 흑산면 가거도리 산95-9,34.0713855,125.09629
서랑비치,대한민국 인천광역시 옹진군 덕적면 서포리 95-2,37.2167407,126.1162568
논짓물해변,대한민국 제주특별자치도 서귀포시 하예동 568,33.2372508,126.389489
금능 해수욕장 야영장,대한민국 제주특별자치도 제주시 한림읍 협재리 2498,33.3918426,126.2383923
곽지과물,"곽지과 물, 대한민국",33.451343,126.3046849
내도몽돌해변,대한민국 제주특별자치도 제주시 내도동 515-1,33.4959359,126.4396111
학포항,대한민국 경상북도 울릉군 서면 태하리 376-3,37.503753,130.8048936
속초해수욕장,대한민국 강원도 속초시 조양동 해오름로 186,38.1909848,128.6034883
게우지코지,대한민국 제주특별자치도 서귀포시 하효동 1371-2,33.2440809,126.6196131
생이돌,대한민국 제주특별자치도 서귀포시 하효동 1371-2,33.2438933,126.6194282
볼레낭개,대한민국 제주특별자치도 서귀포시 보목동 570,33.2393325,126.6051566
앞개,대한민국 제주특별자치도 서귀포시 보목동 보목로70번길 8,33.2385203,126.60292
앞바당,대한민국 제주특별자치도 서귀포시 보목동 보목로70번길 8,33.2381191,126.6031036
섬도코지,대한민국 제주특별자치도 서귀포시 보목동 1348-8,33.2352407,126.5987641
황개,대한민국 제주특별자치도 서귀포시 보목동 1396,33.2379142,126.5926722
소렛개,대한민국 제주특별자치도 서귀포시 보목동 1401-1,33.2407089,126.5918455
갯늪,대한민국 제주특별자치도 서귀포시 표선면 표선리 4,33.3241669,126.8460168
소금막해변,대한민국 제주특별자치도 서귀포시 표선면 하천리 87-2,33.3311832,126.8424684
가마리개,대한민국 제주특별자치도 서귀포시 표선면 세화리 240-5,33.3047356,126.8051071
가는개,대한민국 제주특별자치도 서귀포시 표선면 세화리 1563-1,33.3043336,126.7940721
선녀탕,대한민국 제주특별자치도 서귀포시 서홍동 2593,33.2395251,126.5489082
돔베낭골,대한민국 제주특별자치도 서귀포시 호근동 1608-6,33.2393972,126.5334672
물건해수욕장,대한민국 경상남도 남해군 삼동면 물건리 46,34.7982094,128.0510996
용담리해수욕장,대한민국 인천광역시 옹진군 영흥면 외리 247-88,37.2387571,126.4703079
장골해변,대한민국 인천광역시 옹진군 자월면 자월서로 94,37.2495483,126.3130493
큰말해수욕장,대한민국 인천광역시 옹진군 자월면 자월리 1116-3,37.252786,126.3057884
큰가마골해수욕장,대한민국 전라남도 영광군 낙월면 하낙월리 산39,35.1999981,126.1293272
화암방파제,대한민국 울산광역시 동구 방어동 955-1,35.471408,129.4049603
옹암해수욕장,대한민국 인천광역시 옹진군 북도면 장봉리 59-13,37.5297947,126.3721284
모상개해수욕장,대한민국 경상남도 남해군 흥선로1505번길 65-110 KR,34.8396856,128.0757542
대광 해수욕장,대한민국 전라남도 신안군 임자면 대기리 2523-6,35.1034287,126.0726675
톱머리해수욕장,대한민국 전라남도 무안군 망운면 피서리 809-33,34.9670976,126.3896518
돌머리해수욕장,대한민국 전라남도 함평군 함평읍 석성리 산223-4,35.0853737,126.4381977
명장섬해수욕장,대한민국 충청남도 보령시 오천면 삽시도리 439-6,36.4012892,126.3450874
고파도해수욕장,대한민국 충청남도 서산시 팔봉면 고파도1길 21,36.9094598,126.3379717
상맹방해수욕장,대한민국 강원도 삼척시 근덕면 상맹방리 466-12,37.4032408,129.2116069
부남해수욕장,대한민국 강원도 삼척시 근덕면 부남리 84-1,37.3624357,129.2513058
새비지들,대한민국 부산광역시 강서구 눌차동 141-6,35.0605975,128.8462356
탕수구미,대한민국 부산광역시,35.063223,128.8549343
봉평해수욕장,대한민국 경상북도 울진군 죽변면 울진북로 1180,37.0438604,129.4133914
저두해수욕장,대한민국 충청남도 보령시 오천면 원산도리 142-3,36.3574591,126.4533855
원산도해수욕장,대한민국 충청남도 보령시 오천면 원산도리 1859-1,36.3633043,126.4275435
